Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Return on capital employed,EPS last year,Return on equity,Book value,Price to book value,Graham Number,Historical PE 7Years,Current ratio,PEG Ratio,Debt to equity,Altman Z Score,Piotroski score,NPM last year,Sales growth 3Years,EPS,Industry PE,Quick ratio,Debtor days,Number of equity shares,Intrinsic Value,Enterprise Value,Pledged percentage,Promoter holding,Earnings yield,Free cash flow 3years,G Factor,Return on assets
Multi Comm. Exc.,534091,MCX,Miscellaneous,6450.00,58.74,32893.95,42.86,109.82,34.33,369.50,17.46,955.50,38.97,1.87,2.31,0.00,13.91,9.00,50.33,44.76,109.82,55.54,1.87,9.43,5.10,2168.08,30993.29,0.00,0.00,2.26,1302.06,5.00,14.48
My Mudra Fin.,,MYMUDRA,Finance & Investments,80.50,10.97,91.70,63.68,7084.75,66.24,41.39,1.94,2568.61,0.01,25.17,,0.07,6.65,6.00,11.75,,7084.75,21.48,25.17,65.42,1.14,10319.92,74.49,0.00,57.83,16.50,-3.58,4.00,37.05
Nacdac Infra.,544313,,Construction,40.11,13.32,42.22,40.10,4.14,35.58,,,,12.12,1.77,,0.54,6.30,5.00,8.76,76.61,4.14,34.16,0.95,39.54,1.05,,46.78,0.00,69.84,10.43,-8.18,4.00,17.11
Namo eWaste,,NAMOEWASTE,Miscellaneous,161.00,51.06,368.17,31.55,4.24,25.61,37.49,4.29,59.84,37.98,4.75,,0.10,8.56,5.00,9.55,35.12,4.24,26.75,3.00,23.31,2.29,125.68,345.69,0.00,69.06,2.88,-2.63,5.00,18.43
Narayana Hrudaya,539551,NH,Healthcare,1774.60,46.28,36265.87,26.54,38.62,31.43,156.86,11.31,367.89,39.69,1.55,0.68,0.53,11.62,5.00,15.71,24.78,38.35,48.04,1.46,30.69,20.44,491.22,37640.10,0.00,63.85,2.77,897.37,4.00,16.08
Narmada Macplast,517431,,Plastics Products,175.25,11.78,63.49,121.65,14.88,107.16,21.31,8.22,84.46,31.54,3.04,,0.00,16.24,7.00,77.22,-17.56,14.88,26.80,3.04,151.65,0.36,89.77,63.09,0.00,5.58,10.29,-1.92,4.00,87.71
Natco Pharma,524816,NATCOPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,841.15,8.08,15065.83,30.10,77.51,25.92,399.19,2.11,967.10,20.83,4.96,0.47,0.03,6.18,6.00,34.77,24.90,104.13,30.75,4.19,108.52,17.91,940.49,13712.13,0.00,49.56,16.65,1386.50,3.00,22.13
Naturewings Hol.,544245,,Travel Agencies,68.46,19.32,21.64,72.22,5.07,53.33,28.86,2.37,57.36,13.63,3.27,,0.00,6.69,6.00,5.14,150.95,5.07,20.37,3.27,2.01,0.32,290.46,15.02,0.00,66.99,10.39,0.46,6.00,20.65
Nava,513023,NAVA,Diversified - Large,474.05,12.59,13756.99,17.17,37.61,15.05,262.27,1.81,471.12,4.98,5.98,0.67,0.12,4.09,7.00,36.04,5.97,37.61,14.24,4.76,129.13,29.02,392.46,13605.36,0.00,50.13,12.01,5449.37,2.00,13.71
Navneet Educat.,508989,NAVNETEDUL,Printing & Stationery,148.48,16.04,3358.81,16.24,11.12,15.69,79.79,1.86,245.43,19.87,3.73,3.45,0.04,5.20,6.00,10.97,28.06,33.55,21.94,2.29,76.71,22.62,196.55,3260.92,0.00,63.35,8.50,119.73,4.00,11.27
NESCO,505355,NESCO,Construction,983.90,18.48,6932.56,20.36,53.25,15.23,373.18,2.64,668.69,18.93,2.50,1.86,0.00,5.78,5.00,51.26,29.46,53.25,33.68,2.43,7.81,7.05,1061.04,6914.90,0.00,68.54,7.25,121.41,5.00,13.24
Netlink Solns(I),509040,,Computers - Software - Medium / Small,172.00,3.68,43.50,41.03,36.38,34.61,130.75,1.32,370.64,4.80,5.96,0.05,0.00,4.97,5.00,360.20,219.67,46.69,30.87,5.96,0.00,0.25,294.24,31.34,0.00,54.66,47.67,7.39,6.00,32.00
Netweb Technol.,543945,NETWEB,Computers - Hardware,1831.80,90.65,10377.86,32.57,20.21,24.02,93.61,19.57,206.30,141.41,2.33,0.94,0.01,21.92,3.00,9.96,66.93,20.21,27.65,1.70,114.84,5.67,995.12,10206.28,0.00,71.03,1.55,-22.45,5.00,15.20
Network People,544396,NPST,Computers - Software - Medium / Small,2041.60,80.90,3958.64,83.46,13.78,63.69,47.63,42.86,164.47,82.84,2.99,0.98,0.00,50.26,9.00,21.53,102.59,25.24,30.87,2.99,2.80,1.94,458.14,3834.65,0.00,67.55,1.69,45.27,4.00,47.35
Newgen Software,540900,NEWGEN,Computers - Software - Medium / Small,1158.95,52.07,16413.65,28.62,22.26,23.01,107.07,10.82,231.57,21.73,3.81,1.53,0.04,15.98,7.00,21.20,24.05,22.26,30.87,3.81,136.65,14.16,482.67,16051.63,0.00,53.78,2.53,579.33,4.00,16.90
Newjaisa Tech,,NEWJAISA,Trading,49.45,25.64,174.59,20.95,1.96,19.59,25.05,1.97,33.78,25.15,7.49,,0.19,5.66,3.00,10.24,85.89,2.02,28.96,4.78,50.61,3.53,190.29,155.69,0.00,62.89,5.54,-39.70,4.00,14.29
Nexus Surgical,538874,,Trading,16.43,19.13,8.99,65.93,0.38,46.15,1.57,10.45,5.51,32.23,1.70,0.61,0.00,11.46,5.00,6.05,-2.47,0.86,28.96,1.43,78.89,0.55,10.39,8.91,0.00,18.73,7.07,0.02,4.00,15.44
Nexxus Petro,544265,,Chemicals,111.00,22.17,77.15,30.55,6.82,61.70,,,,19.02,2.08,,0.85,7.69,3.00,1.46,,6.82,29.91,1.79,20.28,0.70,,82.44,0.00,60.28,7.64,-19.23,3.00,12.57
NGL Fine Chem,524774,NGLFINE,Pharmaceuticals - Indian - Bulk Drugs,1251.10,23.70,773.18,20.39,66.88,17.03,453.71,2.76,734.28,27.34,2.66,1.53,0.18,5.96,7.00,12.20,9.50,52.82,26.98,2.17,96.58,0.62,1617.17,812.98,0.00,72.74,5.45,-18.32,3.00,12.86
NIIT Learning,543952,NIITMTS,Computers - Education,347.30,20.07,4732.14,27.93,16.71,21.56,88.89,3.91,182.82,26.78,1.88,,0.08,5.90,6.00,14.26,13.45,16.71,31.37,1.88,55.53,13.63,358.05,4492.49,0.00,34.48,7.53,544.54,4.00,11.18
Nippon Life Ind.,540767,NAM-INDIA,Finance & Investments,727.85,35.91,46196.83,41.07,20.27,31.39,66.38,10.97,173.98,29.71,2.10,1.41,0.02,18.82,5.00,57.67,13.31,20.27,21.48,2.10,11.57,63.47,282.47,45997.18,0.00,72.32,3.70,1999.92,6.00,28.44
Nirman Agri,,NIRMAN,Miscellaneous,218.70,8.14,175.17,33.81,13.00,32.35,122.59,1.78,272.35,23.47,14.29,,0.01,7.42,7.00,16.42,155.00,26.89,18.49,8.87,66.79,0.80,1631.35,159.58,0.00,57.96,13.91,4.38,6.00,28.07
Nisus Finance,544296,,Finance & Investments,364.10,38.00,869.40,101.56,213.24,109.87,,,,1.72,4.00,,0.11,24.65,7.00,54.74,96.06,213.24,21.48,4.00,90.97,2.39,,869.58,0.00,73.23,3.98,9.50,4.00,57.58
Nitin Castings,508875,,Castings & Forgings,655.00,23.87,336.76,24.45,23.59,21.08,152.34,4.30,286.01,22.54,2.29,0.56,0.07,7.62,7.00,9.32,33.89,23.87,28.60,1.70,36.00,0.51,318.28,336.81,0.00,71.39,5.67,13.12,4.00,13.78
Nitiraj Engineer,,NITIRAJ,Electronics - Components,256.35,21.36,262.78,21.00,11.75,16.14,74.65,3.43,141.96,26.89,4.75,1.37,0.00,8.36,9.00,11.83,23.44,12.00,50.12,2.31,46.48,1.03,124.73,257.88,0.00,69.07,6.43,11.97,6.00,13.95
NMDC,526371,NMDC,Mining / Minerals / Metals,70.27,9.53,61780.10,30.91,6.34,23.93,32.27,2.18,73.13,6.69,2.37,2.04,0.15,5.38,6.00,27.13,11.50,7.37,17.64,2.13,60.11,879.18,172.81,51677.80,0.00,60.79,18.05,11881.54,6.00,17.62
Nova Agritech,544100,NOVAAGRI,Fertilizers,49.20,15.23,455.20,21.79,3.06,22.03,22.06,2.23,40.05,16.19,3.11,0.36,0.28,5.73,5.00,11.21,16.27,3.23,19.07,2.22,178.44,9.25,70.26,462.66,0.00,59.39,9.19,1.77,3.00,11.83
Oberoi Realty,533273,OBEROIRLTY,Construction,1676.20,27.39,60947.01,18.16,61.21,15.06,431.92,3.88,771.25,27.26,4.34,1.03,0.21,6.59,6.00,42.10,25.19,61.21,33.68,1.65,7.78,36.36,1110.04,63244.44,0.00,67.70,5.08,620.35,3.00,10.50
OBSC Perfection,,OBSCP,Auto Ancillaries,195.45,28.52,477.92,23.46,6.85,25.00,42.53,4.60,80.98,21.84,2.52,,0.26,7.58,4.00,11.74,36.98,6.85,26.23,1.73,89.29,2.45,182.12,488.29,0.00,73.49,4.86,-41.76,4.00,13.68
Olatech Solution,543578,,Computers - Software - Medium / Small,282.00,24.95,125.51,68.21,6.98,51.36,24.67,11.43,80.31,33.44,3.08,,0.10,19.07,6.00,19.92,40.47,11.62,30.87,2.64,91.73,0.45,109.54,125.28,0.00,62.72,5.52,0.36,6.00,40.37
One Global Serv,514330,,Healthcare,206.70,12.78,146.76,84.85,10.01,65.56,25.93,7.97,97.09,15.32,1.75,0.14,0.02,10.75,7.00,11.28,157.98,16.16,48.04,1.75,151.65,0.71,420.69,146.97,0.00,15.05,10.51,1.16,5.00,31.86
One Point One,,ONEPOINT,Computers - Software - Medium / Small,63.25,52.36,1626.97,22.34,1.04,21.65,14.49,4.36,20.80,39.19,2.33,3.29,0.22,7.37,7.00,12.42,18.66,1.33,30.87,2.33,148.72,25.72,14.56,1690.34,19.63,52.30,2.79,21.40,5.00,10.84
Oracle Fin.Serv.,532466,OFSS,Computers - Software - Medium / Small,8696.50,31.76,75568.06,40.61,273.95,29.34,962.71,9.03,2435.98,19.11,6.90,3.10,0.01,15.65,7.00,34.75,9.45,273.95,30.87,6.90,63.10,8.69,3719.32,69662.26,0.00,72.59,4.75,5645.34,3.00,23.93
Orbit Exports,512626,ORBTEXP,Textiles - Processing,170.77,11.59,452.02,19.84,14.74,15.39,103.26,1.65,185.04,13.83,3.34,1.49,0.06,4.87,6.00,17.91,19.77,14.74,25.07,1.83,54.31,2.65,190.89,465.38,0.00,66.16,11.63,105.85,5.00,12.46
Oriana Power Ltd,,ORIANA,Engineering - Turnkey Services,1510.60,31.62,3069.41,37.54,28.33,60.97,196.92,7.67,467.20,45.33,1.67,,0.64,7.16,6.00,14.17,125.23,49.26,46.10,1.55,74.86,2.03,1810.68,3120.40,0.00,57.97,4.66,-144.80,4.00,19.57
Orient Tech.,544235,ORIENTTECH,Computers - Software - Medium / Small,356.15,29.40,1483.07,26.52,12.11,19.98,79.17,4.50,146.89,27.38,2.50,,0.02,8.08,3.00,6.01,21.55,12.11,30.87,2.43,126.04,4.16,319.16,1373.30,0.00,73.23,5.04,-17.02,3.00,12.06
OSEL Devices,,OSELDEVICE,Electronics - Consumer,246.15,25.22,397.02,54.21,11.31,69.36,65.79,3.74,131.41,18.97,1.80,,0.42,4.99,6.00,9.88,32.07,11.67,29.60,1.45,73.36,1.61,376.37,385.16,0.00,71.53,6.94,-10.69,5.00,17.68
Owais Metal,,OWAIS,Mining / Minerals / Metals,681.55,37.10,1239.22,52.14,8.51,44.91,49.07,13.89,142.41,70.13,2.69,,0.46,16.80,3.00,19.33,,18.37,17.64,2.18,98.17,1.82,,1276.14,0.00,73.01,3.68,,4.00,32.70
P I Industries,523642,PIIND,Pesticides / Agrochemicals - Indian,3769.70,33.66,57193.18,24.00,110.83,21.13,629.15,5.99,1259.14,43.57,3.46,1.02,0.02,10.52,7.00,21.95,18.76,112.00,29.96,2.90,44.28,15.17,2297.71,54523.58,0.00,46.09,3.96,2788.30,3.00,17.51
P N Gadgil Jewe.,544256,PNGJL,Diamond Cutting / Jewellery,543.85,33.81,7380.50,19.35,16.08,20.90,114.51,4.75,203.56,46.86,1.80,0.65,0.60,8.02,3.00,2.84,44.70,16.08,33.21,0.44,2.37,13.57,486.51,7782.17,0.00,83.11,4.32,-691.74,4.00,9.47
P S Raj,,PSRAJ,Steel - Medium / Small,136.00,16.14,102.52,22.05,103.74,23.13,,,,1.34,2.48,,0.50,10.68,7.00,2.14,,103.74,24.59,1.34,18.55,0.75,,119.69,0.00,73.20,8.35,7.59,3.00,10.06
P. H. Capital,500143,,Finance & Investments,200.20,4.27,60.06,73.50,67.10,55.24,196.39,1.02,454.91,2.96,43.97,0.04,0.01,8.06,7.00,12.46,49.51,46.83,21.48,0.75,9.18,0.30,1014.46,60.50,0.00,72.70,31.17,10.04,7.00,52.00
P.E. Analytics,,PROPEQUITY,Miscellaneous,223.45,18.17,234.22,21.30,12.30,15.51,85.45,2.61,153.76,21.16,9.79,,0.00,6.94,5.00,29.64,22.74,12.30,26.75,9.79,54.50,1.05,303.89,151.93,0.00,67.12,11.79,19.47,3.00,13.87
Page Industries,532827,PAGEIND,Textiles - Products,47830.00,73.17,53348.98,59.40,653.71,48.54,1261.61,37.91,4307.71,79.06,1.72,4.50,0.19,36.54,6.00,14.78,8.29,653.71,41.13,0.87,14.17,1.12,8076.37,53139.42,0.00,42.89,1.93,1944.97,5.00,27.38
Panama Petrochem,524820,PANAMAPET,Petrochemicals,383.10,11.37,2317.51,24.49,32.26,18.69,194.05,1.97,383.47,10.04,3.81,0.38,0.00,6.74,4.00,8.15,17.66,33.68,19.87,2.09,62.85,6.05,438.82,2229.46,0.00,61.94,11.91,251.79,4.00,14.52
