Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Return on capital employed,EPS last year,Return on equity,Book value,Price to book value,Graham Number,Historical PE 7Years,Current ratio,PEG Ratio,Debt to equity,Altman Z Score,Piotroski score,NPM last year,Sales growth 3Years,EPS,Industry PE,Quick ratio,Debtor days,Number of equity shares,Intrinsic Value,Enterprise Value,Pledged percentage,Promoter holding,Earnings yield,Free cash flow 3years,G Factor,Return on assets
Cybertech Sys.,532173,CYBERTECH,Computers - Software - Medium / Small,158.15,14.09,492.33,19.58,11.22,15.01,79.56,1.99,141.72,18.16,5.09,0.64,0.03,5.83,8.00,14.81,19.32,11.22,30.73,5.09,32.04,3.11,244.28,416.10,0.00,36.43,11.29,96.67,6.00,12.20
Danlaw Tech.,532329,,Electronics - Components,1068.05,27.35,520.21,40.21,45.64,47.46,135.20,7.90,344.65,41.82,2.37,0.20,0.56,9.06,9.00,10.54,96.49,39.05,50.12,1.48,60.27,0.49,544.73,531.34,0.00,61.88,5.29,12.91,3.00,18.36
DCM,502820,DCM,Castings & Forgings,107.85,7.32,201.44,50.22,2.79,28.77,11.49,9.38,61.70,10.53,0.59,0.09,0.07,4.26,8.00,7.25,14.34,14.72,28.60,0.48,82.32,1.87,59.92,184.64,0.00,49.64,17.40,31.76,5.00,4.49
Dhabriya Poly.,538715,,Plastics Products,328.45,21.28,355.52,18.87,13.01,18.64,84.24,3.90,171.05,18.29,1.51,1.04,0.54,6.22,8.00,6.66,25.76,15.44,26.80,0.68,41.48,1.08,271.37,399.13,0.00,67.75,7.06,15.16,4.00,9.09
Dhanalaxmi Roto,521216,,Trading,94.25,8.74,73.52,38.40,16.76,28.43,65.78,1.43,126.33,5.49,2.69,0.21,0.11,6.12,8.00,6.17,39.23,10.78,28.96,2.63,51.45,0.78,144.06,46.81,0.00,47.64,25.14,26.28,6.00,17.19
Disa India,500068,,Engineering,14465.00,41.43,2103.51,25.81,285.66,19.14,1730.16,8.36,3653.41,32.80,2.08,4.47,0.01,10.59,8.00,13.59,21.60,342.87,35.65,1.58,33.27,0.15,3671.23,1885.16,0.00,74.82,3.68,75.76,6.00,11.42
Dr Lal Pathlabs,539524,LALPATHLAB,Healthcare,2799.60,48.04,23402.34,28.78,58.27,24.22,259.92,10.77,583.76,63.48,3.39,2.89,0.07,17.04,8.00,20.00,5.65,58.27,48.04,3.30,13.06,8.36,896.14,22721.04,0.00,53.91,2.85,1406.34,4.00,19.04
Ecoplast,526703,,Packaging,633.30,23.81,218.78,31.98,30.57,24.21,150.70,4.20,322.29,11.80,3.53,0.92,0.02,10.95,9.00,8.06,14.35,30.63,22.86,1.77,34.38,0.35,234.48,217.07,0.00,64.84,5.70,20.27,5.00,18.47
EIH,500840,EIHOTEL,Hotels,375.20,33.36,23463.66,23.62,10.22,17.62,65.40,5.74,129.21,53.33,2.44,1.11,0.05,9.56,9.00,27.21,72.00,11.34,40.37,2.34,29.07,62.54,164.76,22987.86,0.00,32.85,4.43,984.47,3.00,14.48
EIH Assoc.Hotels,523127,EIHAHOTELS,Hotels,373.70,23.98,2277.19,25.38,15.07,19.01,88.04,4.24,172.80,29.99,4.58,1.29,0.01,8.49,8.00,23.26,27.88,15.07,40.37,4.39,25.42,6.09,222.57,2211.53,0.00,75.00,5.78,194.69,7.00,15.64
Endurance Tech.,540153,ENDURANCE,Auto Ancillaries,2214.40,37.66,31148.38,18.21,59.46,15.47,406.46,5.45,737.40,39.79,1.71,4.49,0.17,8.29,8.00,7.15,15.26,59.46,26.61,1.36,44.79,14.07,1049.28,31073.15,0.00,75.00,3.63,1002.77,3.00,9.72
Epigral,543332,EPIGRAL,Chemicals,1836.50,22.21,7922.91,25.17,82.68,22.59,441.46,4.16,906.24,21.09,1.57,0.85,0.31,6.46,8.00,13.99,18.03,82.68,29.91,0.79,33.25,4.31,2422.73,8493.25,0.00,68.95,6.99,463.18,5.00,12.00
Eveready Inds.,531508,EVEREADY,Dry Cells,321.25,28.32,2335.08,16.98,11.34,19.52,62.99,5.10,126.79,28.16,1.15,2.72,0.68,5.88,8.00,6.13,3.67,11.34,26.17,0.50,27.76,7.27,109.95,2645.96,0.02,43.19,4.69,166.22,3.00,8.05
Fidel Softech,,FIDEL,Computers - Software - Medium / Small,168.70,25.05,231.97,29.99,6.73,22.38,32.91,5.13,70.61,22.96,8.63,1.04,0.00,10.95,8.00,16.89,27.72,6.73,30.73,8.63,106.75,1.38,174.56,224.28,0.00,72.97,5.53,13.09,6.00,19.08
